                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    212,                0.00032,                      1,                      1,                0.31329,             0.00012024,             0.00012024,             0.00012024
                    213,                0.00073,                      1,                      1,                0.31331,             0.00011741,             0.00011741,             0.00011741
                    214,                0.00088,                      1,                      1,                0.31334,             0.00011458,             0.00011458,             0.00011458
                    215,                0.00201,                      1,                      1,                0.31334,             0.00011176,             0.00011176,             0.00011176
                    216,                0.00032,                      1,                      1,                0.31334,             0.00010893,             0.00010893,             0.00010893
                    217,                 0.0009,                      1,                      1,                0.31331,              0.0001061,              0.0001061,              0.0001061
                    218,                0.00028,                      1,                      1,                0.31331,             0.00010327,             0.00010327,             0.00010327
                    219,                0.00022,                      1,                      1,                0.31329,             0.00010045,             0.00010045,             0.00010045
                    220,                0.00299,                      1,                      1,                 0.3134,             9.7618e-05,             9.7618e-05,             9.7618e-05
                    221,                  9e-05,                      1,                      1,                0.31375,             9.4791e-05,             9.4791e-05,             9.4791e-05
                    222,                0.00074,                      1,                      1,                0.31364,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    223,                0.00067,                      1,                      1,                0.31337,             8.9136e-05,             8.9136e-05,             8.9136e-05
                    224,                0.00037,                      1,                      1,                0.31342,             8.6308e-05,             8.6308e-05,             8.6308e-05
                    225,                0.00032,                      1,                      1,                 0.3134,             8.3481e-05,             8.3481e-05,             8.3481e-05
                    226,                0.00103,                      1,                      1,                 0.3134,             8.0653e-05,             8.0653e-05,             8.0653e-05
                    227,                0.00195,                      1,                      1,                 0.3134,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    228,                0.00023,                      1,                      1,                0.31345,             7.4999e-05,             7.4999e-05,             7.4999e-05
                    229,                 0.0009,                      1,                      1,                0.31337,             7.2171e-05,             7.2171e-05,             7.2171e-05
                    230,                0.00015,                      1,                      1,                0.31337,             6.9344e-05,             6.9344e-05,             6.9344e-05
                    231,                0.00058,                      1,                      1,                0.31334,             6.6516e-05,             6.6516e-05,             6.6516e-05
                    232,                0.00026,                      1,                      1,                0.31331,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    233,                0.00051,                      1,                      1,                0.31334,             6.0861e-05,             6.0861e-05,             6.0861e-05
                    234,                0.00035,                      1,                      1,                0.31331,             5.8034e-05,             5.8034e-05,             5.8034e-05
                    235,                0.00015,                      1,                      1,                0.31329,             5.5206e-05,             5.5206e-05,             5.5206e-05
                    236,                  0.026,                      1,                      1,                0.31329,             5.2379e-05,             5.2379e-05,             5.2379e-05
                    237,                0.00031,                      1,                      1,                0.31329,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    238,                0.00013,                      1,                      1,                0.31329,             4.6724e-05,             4.6724e-05,             4.6724e-05
                    239,                0.13803,                      1,                      1,                0.31329,             4.3897e-05,             4.3897e-05,             4.3897e-05
                    240,                0.00015,                      1,                      1,                0.31337,             4.1069e-05,             4.1069e-05,             4.1069e-05
                    241,                0.00036,                      1,                      1,                0.31364,             3.8242e-05,             3.8242e-05,             3.8242e-05
                    242,                0.00099,                      1,                      1,                0.31342,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    243,                 0.0004,                      1,                      1,                0.31337,             3.2587e-05,             3.2587e-05,             3.2587e-05
                    244,                0.00077,                      1,                      1,                0.31331,              2.976e-05,              2.976e-05,              2.976e-05
                    245,                  9e-05,                      1,                      1,                0.31329,             2.6932e-05,             2.6932e-05,             2.6932e-05
                    246,                0.00028,                      1,                      1,                0.31337,             2.4105e-05,             2.4105e-05,             2.4105e-05
                    247,                  6e-05,                      1,                      1,                0.31331,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    248,                0.00028,                      1,                      1,                0.31329,              1.845e-05,              1.845e-05,              1.845e-05
                    249,                0.00056,                      1,                      1,                0.31337,             1.5622e-05,             1.5622e-05,             1.5622e-05
                    250,                0.01406,                      1,                      1,                0.31329,             1.2795e-05,             1.2795e-05,             1.2795e-05
