                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                  1.914,                 1.8477,                 1.5392,                0.24162,                0.22633,                0.15267,                0.04802,                 2.6354,                 2.4926,                 2.1721,              0.0012476,              0.0012476,              0.0012476
                     98,                 1.9618,                  1.826,                 1.5413,                0.23384,                 0.1963,                 0.1231,                0.03993,                 2.6674,                 2.8132,                 2.1771,              0.0012397,              0.0012397,              0.0012397
                     99,                 1.9302,                 1.7711,                 1.5046,                0.22381,                0.18014,                0.12346,                0.03536,                 2.6749,                 2.9702,                 2.1869,              0.0012318,              0.0012318,              0.0012318
                    100,                 1.9665,                 1.7833,                 1.5165,                0.22994,                0.20554,                0.14284,                0.04295,                 2.6343,                 2.7037,                 2.1871,              0.0012238,              0.0012238,              0.0012238
                    101,                 1.8992,                 1.7922,                  1.509,                0.26527,                0.17783,                0.14347,                0.04189,                  2.614,                  2.723,                 2.1968,              0.0012159,              0.0012159,              0.0012159
                    102,                 1.9249,                 1.7618,                 1.5043,                0.24613,                0.18476,                0.14099,                0.04233,                 2.6487,                 2.6306,                 2.2109,               0.001208,               0.001208,               0.001208
                    103,                 1.9305,                 1.7915,                 1.5302,                0.22943,                0.21247,                 0.1598,                0.04835,                 2.5796,                 2.4927,                 2.1479,              0.0012001,              0.0012001,              0.0012001
                    104,                 1.9187,                 1.7393,                 1.5318,                0.21899,                0.21016,                0.15049,                0.04629,                 2.6541,                 2.5805,                 2.1963,              0.0011922,              0.0011922,              0.0011922
                    105,                 1.9005,                 1.7537,                 1.5195,                0.21941,                0.21016,                0.12635,                0.03696,                 2.7133,                 2.6646,                  2.229,              0.0011842,              0.0011842,              0.0011842
                    106,                 1.9417,                 1.8333,                 1.5604,                 0.2296,                0.18938,                0.12103,                 0.0385,                 2.6955,                 2.7117,                 2.2788,              0.0011763,              0.0011763,              0.0011763
                    107,                 1.9036,                 1.7844,                 1.5245,                0.22948,                0.20554,                0.14299,                0.04278,                  2.671,                 2.7297,                 2.1927,              0.0011684,              0.0011684,              0.0011684
                    108,                 1.9096,                 1.7516,                 1.5031,                0.26641,                0.18938,                0.14955,                0.04655,                 2.6662,                 2.6596,                 2.1436,              0.0011605,              0.0011605,              0.0011605
                    109,                 1.9611,                 1.7928,                 1.5279,                0.26907,                0.21709,                0.15688,                  0.044,                 2.7294,                 2.5276,                 2.2016,              0.0011526,              0.0011526,              0.0011526
                    110,                 1.8837,                 1.7255,                 1.5026,                0.21166,                 0.2194,                0.13499,                0.03958,                 2.6595,                 2.5685,                 2.1391,              0.0011446,              0.0011446,              0.0011446
                    111,                 1.8576,                 1.7356,                  1.506,                0.24927,                0.21247,                0.14124,                0.04329,                 2.6694,                 2.7362,                 2.1572,              0.0011367,              0.0011367,              0.0011367
                    112,                 1.8368,                 1.6575,                 1.4785,                0.23827,                0.18938,                 0.1332,                0.03867,                 2.6661,                  3.005,                 2.1927,              0.0011288,              0.0011288,              0.0011288
                    113,                 1.8752,                 1.7252,                 1.4872,                0.24675,                 0.1963,                0.13082,                 0.0368,                  2.723,                 2.8506,                 2.2476,              0.0011209,              0.0011209,              0.0011209
                    114,                 1.9275,                 1.7576,                 1.5018,                0.22197,                0.19861,                0.12702,                0.03854,                 2.7407,                 2.7039,                  2.249,               0.001113,               0.001113,               0.001113
                    115,                 1.8591,                 1.7029,                 1.5036,                0.19957,                0.21247,                0.11687,                0.03298,                 2.7677,                 2.8348,                 2.3207,               0.001105,               0.001105,               0.001105
                    116,                 1.9108,                 1.6615,                  1.507,                0.31971,                0.19645,                0.16868,                0.04959,                 2.6578,                  2.581,                 2.1824,              0.0010971,              0.0010971,              0.0010971
                    117,                 1.8524,                 1.6755,                 1.4787,                0.30643,                0.21478,                0.17068,                0.05079,                 2.6369,                 2.5384,                 2.1251,              0.0010892,              0.0010892,              0.0010892
                    118,                 1.8676,                 1.7041,                 1.4932,                0.22138,                0.20092,                0.11667,                0.03375,                 2.6954,                 2.7728,                 2.2931,              0.0010813,              0.0010813,              0.0010813
                    119,                 1.8285,                 1.6737,                 1.4748,                0.21952,                0.18476,                0.11301,                0.03145,                 2.7193,                 2.8146,                 2.3451,              0.0010734,              0.0010734,              0.0010734
                    120,                 1.8293,                 1.7003,                 1.4919,                0.22795,                0.18014,                0.13731,                0.04083,                 2.7412,                 2.6332,                 2.2686,              0.0010654,              0.0010654,              0.0010654
                    121,                 1.8527,                 1.6482,                 1.4677,                0.19077,                0.20035,                0.12987,                0.03872,                 2.7663,                 2.7031,                 2.2793,              0.0010575,              0.0010575,              0.0010575
                    122,                 1.8542,                 1.6826,                 1.4809,                0.25564,                0.22171,                0.16191,                0.04656,                 2.7317,                 2.5941,                 2.2488,              0.0010496,              0.0010496,              0.0010496
                    123,                 1.8223,                 1.6492,                 1.4621,                0.28669,                0.16628,                0.12524,                0.03613,                  2.718,                 3.1824,                 2.2174,              0.0010417,              0.0010417,              0.0010417
                    124,                 1.8222,                 1.6329,                 1.4724,                 0.2574,                0.19861,                0.14155,                0.04065,                 2.7534,                 2.6862,                 2.2132,              0.0010338,              0.0010338,              0.0010338
                    125,                 1.8178,                 1.6444,                 1.4859,                0.24527,                0.22864,                0.15878,                0.04493,                 2.7489,                 2.5744,                 2.2228,              0.0010258,              0.0010258,              0.0010258
                    126,                  1.849,                 1.6671,                 1.5032,                0.25306,                0.22633,                0.15833,                0.04717,                 2.7094,                 2.5955,                 2.2049,              0.0010179,              0.0010179,              0.0010179
                    127,                 1.8754,                 1.6321,                 1.4856,                0.21935,                0.19861,                0.13411,                0.04074,                 2.7257,                 2.7812,                 2.2261,                0.00101,                0.00101,                0.00101
                    128,                 1.8723,                 1.6855,                 1.5006,                0.25311,                0.21247,                0.14658,                0.04333,                 2.7363,                  2.926,                 2.2631,              0.0010021,              0.0010021,              0.0010021
                    129,                 1.8389,                 1.6418,                 1.4893,                0.20667,                0.15242,                0.12174,                 0.0328,                 2.7892,                 3.0863,                 2.3763,             0.00099416,             0.00099416,             0.00099416
                    130,                 1.7935,                 1.6071,                 1.4562,                 0.2728,                0.20554,                0.13718,                0.04057,                 2.7039,                 2.6795,                 2.2539,             0.00098624,             0.00098624,             0.00098624
                    131,                 1.7878,                 1.5876,                 1.4628,                0.23464,                  0.194,                0.14121,                0.04302,                 2.6976,                 2.7737,                 2.2371,             0.00097832,             0.00097832,             0.00097832
