                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                      0,                      1,                      1,                      0,             0.00037188,             0.00037188,             0.00037188
                    124,                      0,                      1,                      1,                      0,             0.00036905,             0.00036905,             0.00036905
                    125,                      0,                      1,                      1,                      0,             0.00036622,             0.00036622,             0.00036622
                    126,                      0,                      1,                      1,                      0,              0.0003634,              0.0003634,              0.0003634
                    127,                      0,                      1,                      1,                      0,             0.00036057,             0.00036057,             0.00036057
                    128,                      0,                      1,                      1,                      0,             0.00035774,             0.00035774,             0.00035774
                    129,                      0,                      1,                      1,                      0,             0.00035492,             0.00035492,             0.00035492
                    130,                      0,                      1,                      1,                      0,             0.00035209,             0.00035209,             0.00035209
                    131,                      0,                      1,                      1,                      0,             0.00034926,             0.00034926,             0.00034926
                    132,                      0,                      1,                      1,                      0,             0.00034643,             0.00034643,             0.00034643
                    133,                      0,                      1,                      1,                      0,             0.00034361,             0.00034361,             0.00034361
                    134,                      0,                      1,                      1,                      0,             0.00034078,             0.00034078,             0.00034078
                    135,                      0,                      1,                      1,                      0,             0.00033795,             0.00033795,             0.00033795
                    136,                      0,                      1,                      1,                      0,             0.00033512,             0.00033512,             0.00033512
                    137,                      0,                      1,                      1,                      0,              0.0003323,              0.0003323,              0.0003323
                    138,                      0,                      1,                      1,                      0,             0.00032947,             0.00032947,             0.00032947
                    139,                      0,                      1,                      1,                      0,             0.00032664,             0.00032664,             0.00032664
                    140,                      0,                      1,                      1,                      0,             0.00032381,             0.00032381,             0.00032381
                    141,                      0,                      1,                      1,                      0,             0.00032099,             0.00032099,             0.00032099
                    142,                      0,                      1,                      1,                      0,             0.00031816,             0.00031816,             0.00031816
                    143,                      0,                      1,                      1,                      0,             0.00031533,             0.00031533,             0.00031533
                    144,                      0,                      1,                      1,                      0,              0.0003125,              0.0003125,              0.0003125
                    145,                      0,                      1,                      1,                      0,             0.00030968,             0.00030968,             0.00030968
                    146,                      0,                      1,                      1,                      0,             0.00030685,             0.00030685,             0.00030685
                    147,                      0,                      1,                      1,                      0,             0.00030402,             0.00030402,             0.00030402
                    148,                      0,                      1,                      1,                      0,             0.00030119,             0.00030119,             0.00030119
                    149,                      0,                      1,                      1,                      0,             0.00029837,             0.00029837,             0.00029837
                    150,                      0,                      1,                      1,                      0,             0.00029554,             0.00029554,             0.00029554
                    151,                      0,                      1,                      1,                      0,             0.00029271,             0.00029271,             0.00029271
                    152,                      0,                      1,                      1,                      0,             0.00028988,             0.00028988,             0.00028988
                    153,                      0,                      1,                      1,                      0,             0.00028706,             0.00028706,             0.00028706
                    154,                      0,                      1,                      1,                      0,             0.00028423,             0.00028423,             0.00028423
                    155,                      0,                      1,                      1,                      0,              0.0002814,              0.0002814,              0.0002814
                    156,                      0,                      1,                      1,                      0,             0.00027857,             0.00027857,             0.00027857
                    157,                      0,                      1,                      1,                      0,             0.00027575,             0.00027575,             0.00027575
                    158,                      0,                      1,                      1,                      0,             0.00027292,             0.00027292,             0.00027292
                    159,                      0,                      1,                      1,                      0,             0.00027009,             0.00027009,             0.00027009
                    160,                      0,                      1,                      1,                      0,             0.00026726,             0.00026726,             0.00026726
                    161,                      0,                      1,                      1,                      0,             0.00026444,             0.00026444,             0.00026444
                    162,                      0,                      1,                      1,                      0,             0.00026161,             0.00026161,             0.00026161
                    163,                      0,                      1,                      1,                      0,             0.00025878,             0.00025878,             0.00025878
                    164,                      0,                      1,                      1,                      0,             0.00025595,             0.00025595,             0.00025595
                    165,                      0,                      1,                      1,                      0,             0.00025313,             0.00025313,             0.00025313
                    166,                      0,                      1,                      1,                      0,              0.0002503,              0.0002503,              0.0002503
                    167,                      0,                      1,                      1,                      0,             0.00024747,             0.00024747,             0.00024747
                    168,                      0,                      1,                      1,                      0,             0.00024464,             0.00024464,             0.00024464
                    169,                      0,                      1,                      1,                      0,             0.00024182,             0.00024182,             0.00024182
                    170,                      0,                      1,                      1,                      0,             0.00023899,             0.00023899,             0.00023899
                    171,                      0,                      1,                      1,                      0,             0.00023616,             0.00023616,             0.00023616
                    172,                      0,                      1,                      1,                      0,             0.00023334,             0.00023334,             0.00023334
                    173,                      0,                      1,                      1,                      0,             0.00023051,             0.00023051,             0.00023051
                    174,                      0,                      1,                      1,                      0,             0.00022768,             0.00022768,             0.00022768
                    175,                      0,                      1,                      1,                      0,             0.00022485,             0.00022485,             0.00022485
                    176,                      0,                      1,                      1,                      0,             0.00022203,             0.00022203,             0.00022203
                    177,                      0,                      1,                      1,                      0,              0.0002192,              0.0002192,              0.0002192
                    178,                      0,                      1,                      1,                      0,             0.00021637,             0.00021637,             0.00021637
                    179,                      0,                      1,                      1,                      0,             0.00021354,             0.00021354,             0.00021354
                    180,                      0,                      1,                      1,                      0,             0.00021072,             0.00021072,             0.00021072
                    181,                      0,                      1,                      1,                      0,             0.00020789,             0.00020789,             0.00020789
                    182,                      0,                      1,                      1,                      0,             0.00020506,             0.00020506,             0.00020506
                    183,                      0,                      1,                      1,                      0,             0.00020223,             0.00020223,             0.00020223
                    184,                      0,                      1,                      1,                      0,             0.00019941,             0.00019941,             0.00019941
                    185,                      0,                      1,                      1,                      0,             0.00019658,             0.00019658,             0.00019658
                    186,                      0,                      1,                      1,                      0,             0.00019375,             0.00019375,             0.00019375
                    187,                      0,                      1,                      1,                      0,             0.00019092,             0.00019092,             0.00019092
                    188,                      0,                      1,                      1,                      0,              0.0001881,              0.0001881,              0.0001881
                    189,                      0,                      1,                      1,                      0,             0.00018527,             0.00018527,             0.00018527
                    190,                      0,                      1,                      1,                      0,             0.00018244,             0.00018244,             0.00018244
                    191,                      0,                      1,                      1,                      0,             0.00017961,             0.00017961,             0.00017961
                    192,                      0,                      1,                      1,                      0,             0.00017679,             0.00017679,             0.00017679
                    193,                      0,                      1,                      1,                      0,             0.00017396,             0.00017396,             0.00017396
                    194,                      0,                      1,                      1,                      0,             0.00017113,             0.00017113,             0.00017113
                    195,                      0,                      1,                      1,                      0,              0.0001683,              0.0001683,              0.0001683
                    196,                      0,                      1,                      1,                      0,             0.00016548,             0.00016548,             0.00016548
                    197,                      0,                      1,                      1,                      0,             0.00016265,             0.00016265,             0.00016265
                    198,                      0,                      1,                      1,                      0,             0.00015982,             0.00015982,             0.00015982
                    199,                      0,                      1,                      1,                      0,             0.00015699,             0.00015699,             0.00015699
